Y1,Y2,C2_transformed,C31_transformed,C61_transformed,L5_transformed
1.000,1.000,0.000,0.000,-0.652,-0.344
1.000,0.000,1.000,0.000,-0.652,0.790
0.000,0.000,1.000,1.000,0.155,0.620
1.000,1.000,1.000,1.000,-0.652,2.463
0.000,0.000,1.000,1.000,0.466,0.400
1.000,0.000,1.000,1.000,-0.652,0.309
1.000,0.000,0.000,0.000,-0.652,-0.024
0.000,0.000,1.000,0.000,1.770,0.477
0.000,1.000,1.000,1.000,0.386,-0.559
1.000,1.000,1.000,1.000,-0.652,-0.262
0.000,1.000,1.000,0.000,2.677,-1.333
0.000,0.000,0.000,1.000,-0.652,-1.424
0.000,1.000,1.000,1.000,0.466,-1.004
1.000,1.000,1.000,1.000,-0.652,0.423
0.000,1.000,1.000,1.000,-0.652,-0.517
1.000,1.000,1.000,1.000,-0.652,0.001
0.000,1.000,1.000,1.000,1.583,-1.106
0.000,1.000,1.000,0.000,0.559,-0.475
0.000,1.000,1.000,0.000,-0.652,2.463
0.000,1.000,1.000,0.000,0.801,-0.844
1.000,1.000,0.000,0.000,-0.652,-1.630
1.000,0.000,1.000,1.000,-0.652,-1.314
1.000,0.000,0.000,0.000,-0.652,-0.915
0.000,1.000,1.000,0.000,2.254,-0.631
0.000,1.000,1.000,1.000,-0.652,-0.671
0.000,0.000,1.000,0.000,-0.652,0.381
1.000,1.000,1.000,0.000,-0.652,-2.001
1.000,1.000,1.000,1.000,-0.652,0.663
0.000,1.000,1.000,1.000,0.559,0.856
0.000,1.000,1.000,1.000,2.677,-0.325
0.000,1.000,1.000,1.000,0.317,-1.489
0.000,1.000,1.000,1.000,0.203,-0.358
0.000,1.000,1.000,0.000,-0.652,0.044
0.000,0.000,1.000,0.000,-0.652,-0.836
0.000,1.000,1.000,1.000,1.285,-0.618
1.000,0.000,0.000,1.000,-0.652,0.532
0.000,1.000,1.000,1.000,1.285,-1.027
0.000,1.000,1.000,1.000,1.057,2.463
1.000,0.000,1.000,1.000,-0.652,1.377
1.000,0.000,1.000,0.000,-0.652,-1.347
0.000,1.000,1.000,1.000,0.075,-0.317
1.000,1.000,1.000,0.000,-0.652,-0.271
1.000,0.000,0.000,0.000,-0.652,2.010
0.000,0.000,1.000,0.000,2.072,-0.859
0.000,1.000,0.000,1.000,1.285,0.942
1.000,1.000,1.000,0.000,-0.652,0.048
1.000,0.000,1.000,1.000,-0.652,-0.988
1.000,0.000,1.000,1.000,-0.652,0.153
0.000,1.000,1.000,0.000,1.770,-1.442
0.000,1.000,1.000,0.000,2.039,-1.007
0.000,1.000,1.000,1.000,0.669,-1.127
1.000,0.000,1.000,0.000,-0.652,-0.108
1.000,0.000,1.000,1.000,-0.652,0.650
1.000,0.000,1.000,1.000,-0.652,-1.431
0.000,1.000,1.000,1.000,-0.652,-1.898
1.000,1.000,1.000,1.000,-0.652,-0.107
1.000,0.000,1.000,0.000,-0.652,-0.131
1.000,1.000,1.000,1.000,-0.652,0.769
1.000,1.000,1.000,1.000,-0.652,-0.615
0.000,0.000,1.000,1.000,-0.167,-0.917
1.000,1.000,1.000,1.000,-0.652,-0.179
0.000,1.000,1.000,0.000,0.732,-1.117
0.000,1.000,1.000,1.000,0.350,-0.899
1.000,1.000,1.000,0.000,-0.652,-0.399
1.000,1.000,1.000,0.000,-0.652,-0.329
1.000,0.000,0.000,1.000,-0.652,-0.261
1.000,1.000,1.000,1.000,-0.652,-1.370
1.000,1.000,1.000,0.000,-0.652,0.224
1.000,1.000,1.000,0.000,-0.652,-0.158
1.000,1.000,1.000,1.000,-0.652,-0.437
0.000,1.000,1.000,1.000,1.424,-0.448
0.000,1.000,1.000,1.000,0.256,-1.140
1.000,1.000,1.000,1.000,-0.652,-1.582
1.000,1.000,1.000,0.000,-0.652,0.532
1.000,1.000,1.000,0.000,-0.652,1.312
1.000,0.000,0.000,1.000,-0.652,-0.194
1.000,1.000,1.000,0.000,-0.652,0.579
0.000,1.000,1.000,1.000,2.650,-0.263
1.000,0.000,1.000,0.000,-0.652,0.222
0.000,1.000,1.000,0.000,0.878,-0.763
0.000,1.000,1.000,1.000,0.256,-0.448
1.000,0.000,1.000,0.000,-0.652,0.093
0.000,1.000,1.000,1.000,0.155,-1.021
0.000,0.000,1.000,1.000,2.577,1.538
1.000,0.000,0.000,0.000,-0.652,0.737
0.000,1.000,1.000,0.000,1.057,-0.525
0.000,1.000,1.000,0.000,1.583,0.525
0.000,1.000,1.000,1.000,0.256,-1.068
1.000,1.000,1.000,1.000,-0.652,-0.253
0.000,1.000,1.000,1.000,0.256,0.067
1.000,1.000,1.000,1.000,-0.652,0.103
1.000,1.000,0.000,1.000,-0.652,0.081
0.000,0.000,1.000,0.000,-0.652,0.161
0.000,1.000,1.000,0.000,0.466,-0.257
0.000,1.000,1.000,1.000,1.285,-0.642
1.000,0.000,1.000,1.000,-0.652,0.530
1.000,1.000,1.000,0.000,-0.652,1.857
0.000,1.000,1.000,0.000,0.963,0.802
1.000,0.000,1.000,1.000,-0.652,-0.537
0.000,1.000,1.000,1.000,-0.652,-1.656
0.000,0.000,1.000,1.000,2.677,-0.228
0.000,1.000,0.000,1.000,1.164,0.022
1.000,1.000,1.000,1.000,-0.652,-0.567
1.000,0.000,0.000,1.000,-0.652,-1.239
0.000,1.000,1.000,0.000,0.386,-0.171
0.000,1.000,1.000,1.000,0.203,0.818
1.000,0.000,1.000,1.000,-0.652,-0.046
0.000,1.000,1.000,1.000,1.770,-0.631
1.000,0.000,1.000,0.000,-0.652,-1.106
1.000,1.000,1.000,1.000,-0.652,2.056
1.000,0.000,1.000,1.000,-0.652,-1.321
0.000,1.000,1.000,0.000,0.009,0.182
1.000,1.000,1.000,1.000,-0.652,-0.745
1.000,1.000,1.000,1.000,-0.652,1.104
1.000,0.000,1.000,0.000,-0.652,1.644
0.000,1.000,1.000,0.000,0.317,-0.076
1.000,0.000,0.000,0.000,-0.652,1.523
1.000,0.000,1.000,0.000,-0.652,0.352
1.000,0.000,1.000,1.000,-0.652,1.150
1.000,0.000,1.000,1.000,-0.652,0.361
1.000,0.000,1.000,1.000,-0.652,-0.919
0.000,1.000,1.000,0.000,1.912,-0.600
0.000,0.000,1.000,1.000,-0.652,1.332
1.000,1.000,0.000,1.000,-0.652,0.631
1.000,1.000,0.000,1.000,-0.652,-0.821
1.000,1.000,0.000,0.000,-0.652,0.627
0.000,0.000,1.000,0.000,-0.133,0.620
1.000,1.000,1.000,1.000,-0.652,2.087
1.000,1.000,1.000,1.000,-0.652,-0.492
0.000,1.000,1.000,0.000,1.285,0.887
0.000,1.000,1.000,1.000,0.113,2.463
0.000,1.000,1.000,1.000,-0.652,-0.126
0.000,1.000,1.000,1.000,1.164,0.982
1.000,1.000,1.000,0.000,-0.652,-0.258
0.000,0.000,1.000,1.000,0.113,-0.266
1.000,1.000,1.000,1.000,-0.652,-0.411
1.000,0.000,1.000,1.000,-0.652,-0.607
0.000,1.000,1.000,1.000,1.285,-0.565
0.000,1.000,1.000,1.000,2.677,-0.396
0.000,1.000,1.000,0.000,-0.652,1.805
1.000,0.000,1.000,1.000,-0.652,-0.098
1.000,1.000,1.000,1.000,-0.652,0.278
1.000,1.000,0.000,0.000,-0.652,-0.783
0.000,1.000,1.000,1.000,2.254,0.260
1.000,1.000,1.000,1.000,-0.652,-0.876
0.000,1.000,1.000,1.000,1.485,0.583
1.000,1.000,1.000,1.000,-0.652,0.259
0.000,1.000,1.000,0.000,0.009,2.463
0.000,1.000,1.000,0.000,-0.652,-1.481
1.000,1.000,1.000,0.000,-0.652,-0.256
1.000,1.000,1.000,1.000,-0.652,-0.875
0.000,1.000,1.000,1.000,0.386,-0.437
1.000,0.000,1.000,0.000,-0.652,0.782
0.000,0.000,0.000,1.000,-0.652,-0.624
0.000,1.000,1.000,0.000,0.669,2.463
1.000,0.000,1.000,0.000,-0.652,-0.113
0.000,1.000,1.000,0.000,0.559,-0.051
1.000,0.000,1.000,0.000,-0.652,-0.204
1.000,1.000,1.000,0.000,-0.652,-0.684
1.000,0.000,0.000,1.000,-0.652,-0.876
1.000,0.000,1.000,1.000,-0.652,-0.328
1.000,1.000,1.000,0.000,-0.652,0.014
0.000,1.000,1.000,0.000,2.072,-0.622
1.000,1.000,1.000,1.000,-0.652,-1.010
0.000,1.000,1.000,1.000,0.203,-1.925
1.000,0.000,1.000,1.000,-0.652,-0.402
0.000,1.000,1.000,1.000,2.677,-0.429
0.000,1.000,1.000,0.000,-0.652,0.958
1.000,0.000,0.000,1.000,-0.652,-1.003
0.000,1.000,1.000,1.000,1.352,0.110
0.000,1.000,1.000,1.000,0.669,0.988
1.000,1.000,1.000,1.000,-0.652,1.875
0.000,1.000,1.000,1.000,1.424,0.816
0.000,1.000,1.000,0.000,0.317,-0.006
1.000,1.000,1.000,0.000,-0.652,-0.680
0.000,1.000,1.000,0.000,1.243,-1.237
0.000,0.000,1.000,1.000,1.528,-0.891
1.000,1.000,1.000,0.000,-0.652,-0.310
0.000,1.000,0.000,1.000,1.770,0.811
0.000,1.000,1.000,1.000,-0.652,0.158
1.000,0.000,1.000,0.000,-0.652,0.332
1.000,1.000,1.000,0.000,-0.652,2.463
1.000,1.000,1.000,1.000,-0.652,0.524
0.000,1.000,1.000,1.000,0.386,0.454
1.000,1.000,0.000,0.000,-0.652,-0.561
1.000,0.000,1.000,0.000,-0.652,-0.734
0.000,0.000,0.000,0.000,2.677,1.423
1.000,1.000,1.000,0.000,-0.652,-0.878
1.000,1.000,0.000,0.000,-0.652,-0.876
1.000,1.000,0.000,0.000,-0.652,-0.157
0.000,1.000,0.000,1.000,0.040,-0.318
0.000,1.000,1.000,1.000,0.963,-0.882
1.000,1.000,1.000,1.000,-0.652,1.395
0.000,0.000,1.000,1.000,0.466,-0.985
1.000,1.000,0.000,0.000,-0.652,-0.552
0.000,1.000,0.000,1.000,0.466,-0.350
0.000,1.000,0.000,1.000,0.040,-1.193
1.000,1.000,0.000,1.000,-0.652,-0.079
0.000,1.000,1.000,1.000,-0.652,-0.890
0.000,1.000,1.000,0.000,1.583,0.412
1.000,0.000,1.000,1.000,-0.652,1.559
0.000,1.000,1.000,1.000,-0.151,-1.335
1.000,0.000,1.000,0.000,-0.652,-0.059
0.000,1.000,1.000,0.000,0.317,-1.194
1.000,1.000,1.000,1.000,-0.652,0.998
1.000,0.000,1.000,1.000,-0.652,1.141
0.000,1.000,1.000,1.000,-0.652,-1.890
0.000,1.000,1.000,1.000,-0.248,-1.610
0.000,0.000,1.000,1.000,1.164,-0.580
1.000,0.000,0.000,0.000,-0.652,-1.305
0.000,1.000,1.000,1.000,1.673,-0.432
1.000,1.000,1.000,1.000,-0.652,-1.005
1.000,0.000,1.000,1.000,-0.652,0.097
1.000,0.000,1.000,0.000,-0.652,-0.464
1.000,0.000,1.000,0.000,-0.652,0.040
1.000,0.000,1.000,1.000,-0.652,-1.037
1.000,1.000,1.000,0.000,-0.652,-0.661
0.000,1.000,1.000,1.000,-0.652,1.330
1.000,0.000,0.000,0.000,-0.652,0.998
0.000,1.000,1.000,0.000,0.466,0.662
1.000,0.000,1.000,0.000,-0.652,-1.139
1.000,0.000,1.000,0.000,-0.652,0.627
0.000,1.000,1.000,1.000,0.317,0.230
1.000,0.000,1.000,1.000,-0.652,-0.667
0.000,0.000,1.000,1.000,1.770,0.429
1.000,0.000,1.000,1.000,-0.652,1.317
1.000,1.000,1.000,1.000,-0.652,1.142
1.000,1.000,0.000,0.000,-0.652,-0.035
1.000,1.000,1.000,1.000,-0.652,-1.098
1.000,1.000,0.000,0.000,-0.652,2.257
1.000,1.000,0.000,1.000,-0.652,0.245
1.000,1.000,1.000,1.000,-0.652,0.428
0.000,0.000,1.000,0.000,-0.652,-0.117
1.000,1.000,0.000,0.000,-0.652,-1.221
0.000,1.000,1.000,1.000,0.317,0.673
0.000,1.000,1.000,1.000,2.677,-0.533
0.000,1.000,1.000,1.000,1.285,0.732
0.000,1.000,1.000,1.000,2.677,-0.823
0.000,1.000,1.000,0.000,-0.652,0.682
1.000,1.000,1.000,0.000,-0.652,-1.392
0.000,0.000,1.000,1.000,-0.224,-1.551
1.000,1.000,1.000,0.000,-0.652,2.378
1.000,1.000,1.000,1.000,-0.652,0.551
1.000,1.000,1.000,1.000,-0.652,0.801
0.000,1.000,1.000,0.000,0.256,2.463
1.000,1.000,1.000,1.000,-0.652,2.463
0.000,1.000,1.000,0.000,1.770,-0.627
0.000,1.000,0.000,1.000,1.285,0.319
1.000,0.000,1.000,0.000,-0.652,0.401
0.000,1.000,1.000,0.000,0.155,0.048
0.000,0.000,1.000,1.000,0.878,0.754
0.000,1.000,1.000,1.000,1.770,-0.005
1.000,1.000,1.000,0.000,-0.652,-0.668
0.000,1.000,1.000,0.000,2.677,-0.870
1.000,1.000,1.000,1.000,-0.652,-0.040
1.000,1.000,0.000,1.000,-0.652,-1.770
0.000,1.000,1.000,0.000,0.878,-0.545
1.000,0.000,1.000,0.000,-0.652,1.265
1.000,1.000,1.000,0.000,-0.652,-1.287
1.000,0.000,1.000,0.000,-0.652,-0.410
0.000,1.000,0.000,1.000,0.386,-2.521
0.000,1.000,1.000,0.000,2.677,-0.615
0.000,1.000,1.000,1.000,0.919,-0.560
1.000,1.000,1.000,1.000,-0.652,0.070
1.000,1.000,1.000,0.000,-0.652,1.199
0.000,1.000,1.000,1.000,0.732,2.463
1.000,1.000,1.000,1.000,-0.652,1.971
0.000,1.000,1.000,1.000,1.164,-1.122
0.000,1.000,1.000,1.000,0.801,1.269
0.000,0.000,1.000,1.000,2.677,0.887
1.000,1.000,1.000,0.000,-0.652,-0.402
1.000,1.000,1.000,0.000,-0.652,0.807
0.000,1.000,1.000,1.000,1.642,-0.684
1.000,1.000,1.000,1.000,-0.652,1.233
0.000,1.000,1.000,0.000,1.583,0.370
0.000,1.000,1.000,0.000,2.677,0.385
1.000,1.000,1.000,0.000,-0.652,-0.932
0.000,1.000,1.000,1.000,-0.314,0.850
1.000,0.000,1.000,0.000,-0.652,2.463
1.000,0.000,1.000,0.000,-0.652,-0.262
1.000,1.000,1.000,0.000,-0.652,-0.009
0.000,1.000,1.000,0.000,2.254,-0.415
0.000,1.000,1.000,0.000,-0.652,1.056
1.000,1.000,0.000,0.000,-0.652,1.021
1.000,1.000,1.000,1.000,-0.652,-0.539
1.000,0.000,1.000,0.000,-0.652,-0.936
0.000,1.000,1.000,0.000,-0.652,0.493
1.000,0.000,0.000,0.000,-0.652,-0.815
1.000,0.000,1.000,0.000,-0.652,-0.194
1.000,0.000,1.000,1.000,-0.652,1.100
1.000,1.000,1.000,0.000,-0.652,-0.494
1.000,1.000,1.000,1.000,-0.652,-1.423
0.000,1.000,1.000,0.000,2.354,-0.591
1.000,1.000,1.000,0.000,-0.652,-0.264
1.000,1.000,1.000,0.000,-0.652,1.318
0.000,1.000,1.000,0.000,0.386,0.325
1.000,1.000,1.000,1.000,-0.652,-0.947
1.000,0.000,1.000,1.000,-0.652,0.104
0.000,1.000,1.000,0.000,-0.652,-0.810
1.000,0.000,0.000,0.000,-0.652,-1.420
0.000,1.000,1.000,1.000,0.155,0.141
1.000,0.000,1.000,0.000,-0.652,0.452
0.000,1.000,1.000,0.000,2.677,-1.142
1.000,0.000,1.000,0.000,-0.652,2.168
0.000,1.000,1.000,0.000,0.466,0.135
0.000,0.000,1.000,1.000,1.770,-0.994
1.000,1.000,1.000,1.000,-0.652,-0.236
0.000,1.000,1.000,1.000,0.317,-0.700
1.000,1.000,0.000,0.000,-0.652,0.251
0.000,1.000,1.000,1.000,1.528,-0.139
1.000,1.000,1.000,1.000,-0.652,0.009
1.000,1.000,1.000,1.000,-0.652,1.615
1.000,1.000,1.000,0.000,-0.652,0.216
1.000,1.000,1.000,1.000,-0.652,-0.307
1.000,0.000,1.000,0.000,-0.652,-1.039
1.000,0.000,1.000,0.000,-0.652,1.034
1.000,1.000,1.000,1.000,-0.652,0.026
0.000,1.000,0.000,1.000,0.256,-0.108
1.000,1.000,1.000,0.000,-0.652,1.120
0.000,1.000,1.000,0.000,-0.652,0.090
1.000,0.000,1.000,0.000,-0.652,1.674
0.000,1.000,1.000,1.000,1.057,0.301
0.000,1.000,1.000,1.000,2.677,-0.888
0.000,1.000,1.000,1.000,1.424,-0.407
0.000,1.000,0.000,0.000,-0.652,-0.596
0.000,0.000,1.000,1.000,-0.652,-0.181
0.000,0.000,0.000,0.000,2.677,-1.022
0.000,1.000,1.000,1.000,1.057,-0.392
1.000,1.000,1.000,1.000,-0.652,0.364
0.000,0.000,0.000,0.000,-0.652,0.291
1.000,1.000,1.000,0.000,-0.652,0.279
1.000,0.000,0.000,1.000,-0.652,1.402
0.000,1.000,0.000,0.000,-0.652,-0.710
0.000,1.000,1.000,0.000,0.386,0.246
0.000,1.000,1.000,1.000,0.963,-0.968
0.000,1.000,1.000,0.000,0.256,2.463
0.000,1.000,1.000,1.000,-0.652,-0.150
1.000,0.000,1.000,1.000,-0.652,0.349
0.000,0.000,1.000,1.000,-0.652,-0.628
1.000,0.000,1.000,1.000,-0.652,2.292
0.000,1.000,1.000,0.000,-0.652,-0.584
0.000,1.000,1.000,0.000,1.057,1.209
0.000,1.000,1.000,0.000,0.466,2.072
1.000,1.000,1.000,0.000,-0.652,0.537
0.000,1.000,0.000,0.000,-0.652,0.278
1.000,1.000,1.000,1.000,-0.652,-0.679
1.000,1.000,1.000,0.000,-0.652,-0.050
1.000,0.000,0.000,1.000,-0.652,0.442
1.000,1.000,1.000,1.000,-0.652,-0.408
0.000,1.000,1.000,0.000,0.669,-0.939
0.000,0.000,1.000,1.000,0.386,-0.777
0.000,1.000,1.000,0.000,1.424,-0.076
1.000,1.000,1.000,1.000,-0.652,0.018
1.000,1.000,1.000,1.000,-0.652,0.163
1.000,1.000,1.000,0.000,-0.652,1.640
1.000,1.000,1.000,1.000,-0.652,0.778
1.000,0.000,1.000,0.000,-0.652,-1.119
1.000,0.000,1.000,0.000,-0.652,2.463
1.000,1.000,1.000,1.000,-0.652,-0.887
1.000,1.000,1.000,0.000,-0.652,-0.798
0.000,0.000,0.000,0.000,-0.652,0.786
1.000,1.000,1.000,1.000,-0.652,-0.994
1.000,0.000,1.000,1.000,-0.652,-0.584
0.000,0.000,1.000,1.000,-0.046,-0.928
1.000,0.000,1.000,1.000,-0.652,0.579
0.000,1.000,1.000,1.000,1.164,-0.529
0.000,1.000,1.000,1.000,1.057,-1.012
0.000,0.000,1.000,0.000,2.677,-1.135
0.000,1.000,1.000,1.000,0.386,2.463
1.000,0.000,1.000,1.000,-0.652,1.173
1.000,0.000,1.000,1.000,-0.652,-1.111
1.000,1.000,0.000,1.000,-0.652,0.235
1.000,1.000,1.000,0.000,-0.652,-0.282
0.000,1.000,1.000,1.000,0.801,-0.469
1.000,1.000,1.000,1.000,-0.652,-0.569
0.000,1.000,1.000,0.000,1.285,2.463
1.000,1.000,1.000,1.000,-0.652,0.884
1.000,1.000,1.000,0.000,-0.652,-0.123
0.000,1.000,1.000,1.000,0.386,-0.848
0.000,1.000,1.000,0.000,0.963,0.359
1.000,1.000,0.000,1.000,-0.652,-0.642
0.000,1.000,1.000,0.000,2.677,0.255
1.000,0.000,1.000,0.000,-0.652,0.297
0.000,1.000,1.000,1.000,-0.652,-0.829
1.000,0.000,1.000,0.000,-0.652,2.463
0.000,1.000,1.000,1.000,-0.652,-0.264
0.000,1.000,1.000,1.000,0.669,0.681
0.000,1.000,1.000,0.000,-0.652,-0.457
0.000,0.000,1.000,1.000,-0.652,0.803
0.000,1.000,1.000,0.000,1.770,-0.212
0.000,1.000,1.000,1.000,0.386,-0.607
0.000,1.000,1.000,1.000,0.386,0.980
1.000,1.000,1.000,1.000,-0.652,-0.107
1.000,0.000,0.000,1.000,-0.652,1.163
1.000,1.000,1.000,1.000,-0.652,-1.299
1.000,1.000,1.000,0.000,-0.652,-1.235
1.000,0.000,1.000,1.000,-0.652,-0.165
0.000,0.000,1.000,0.000,-0.652,-0.934
0.000,1.000,1.000,0.000,-0.652,-0.572
0.000,1.000,1.000,0.000,2.677,-0.440
0.000,1.000,1.000,0.000,0.203,0.348
1.000,1.000,0.000,1.000,-0.652,-0.235
0.000,1.000,1.000,0.000,2.430,-0.710
1.000,1.000,1.000,1.000,-0.652,0.101
0.000,1.000,1.000,1.000,0.386,-0.303
0.000,1.000,1.000,0.000,-0.652,0.346
0.000,1.000,1.000,1.000,2.461,-0.554
1.000,1.000,1.000,0.000,-0.652,1.294
0.000,1.000,1.000,1.000,0.559,-0.512
0.000,1.000,1.000,0.000,2.254,-1.054
1.000,0.000,1.000,0.000,-0.652,-0.070
